keyword,cluster,intent,service_mapping,priority,locale_detected,geo_target,impressions,clicks,notes
"ai seo agency singapore",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Singapore,8,0,
"seo audit newcastle",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,8,0,
"schema markup jacksonville",TECHNICAL_AI_SEO,local_intent,structured_data_engineering,3,en-us,Il,7,0,
"copilot services chicago",AI_LLM_STRATEGY,local_intent,llm_strategy,3,en-us,Ca,7,0,
"indianapolis ai seo",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Indianapolis,7,0,
"search engine optimisation southend-on-sea",GEO_SEO,local_intent,ai_seo,3,en-us,"Southend On Sea",7,0,
"technical seo in huddersfield",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,7,0,
"seo writer toronto",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Toronto,7,0,
"seo specialist singapore",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Singapore,7,0,
"citation building nottingham",GEO_SEO,local_intent,ai_seo,3,en-us,Il,6,0,
"search engine ranking optimization stockport",TECHNICAL_AI_SEO,local_intent,ranking_optimization,3,en-us,Stockport,6,0,
"columbus ai seo",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Columbus,6,0,
"seo ai singapore",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Singapore,6,0,
"seo packages for oldham",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Pa,6,0,
"search engine optimisation (seo)oldham",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Oldham,6,0,
"technical seo in middlesbrough",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,6,0,
"seo specialist belfast",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Belfast,6,0,
"international seo singapore",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Singapore,6,0,
"generative ai content optimization in houston",TECHNICAL_AI_SEO,local_intent,llm_strategy,3,en-us,Houston,6,0,
"seo audit sheffield",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Sheffield,6,0,
"sayama b2b",GENERAL_SEO,informational,ai_seo,3,en-us,,5,0,
"kazo ai",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Az,5,0,
"albuquerque conversion rate optimization services",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Albuquerque,5,0,
"generative engine optimization montreal",TECHNICAL_AI_SEO,local_intent,llm_strategy,3,en-us,Montreal,5,0,
"virginia beach conversion rate optimization services",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,"Virginia Beach",5,0,
"seo conference in huddersfield",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Sf,5,0,
"ai optimization singapore",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Singapore,5,0,
"website search optimization stockport",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Stockport,5,0,
"seo conference in plymouth",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Plymouth,5,0,
"best local seo in coventry",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,5,0,
"seo stockport",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Stockport,5,0,
"local seo huddersfield",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,5,0,
"seo conference in northampton",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Northampton,5,0,
"seo search engine optimisation in huddersfield",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Sf,5,0,
"technical seo inoldham",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,5,0,
"southport seo",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Southport,5,0,
"chatgpt visibility strategies for businesses kansas city",AI_LLM_STRATEGY,local_intent,llm_strategy,3,en-us,Il,4,0,
"voice search optimization san antonio",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,"San Antonio",4,0,
"albuquerque conversion rate optimization company",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Pa,4,0,
"tucson conversion rate optimization services",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Tucson,4,0,
"oklahoma city ai seo",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,La,4,0,
"columbus conversion rate optimization services",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Columbus,4,0,
"tucson conversion rate optimization company",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Pa,4,0,
"albuquerque conversion rate optimization agency",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Albuquerque,4,0,
"ai e commerce montreal",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Montreal,4,0,
"seo search engine optimisation inoldham",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Oldham,4,0,
"web search optimization stockport",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Stockport,4,0,
"seo conference in oldham",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Oldham,4,0,
"local seo oldham",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,4,0,
"seo specialist in cambridge",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,4,0,
"search engine optimisation (seo)huddersfield",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Sf,4,0,
"technical seo jobs",TECHNICAL_AI_SEO,job_intent,enterprise_ai_hiring,3,en-us,Ca,3,0,
"search generative experience in okc",AI_LLM_STRATEGY,informational,llm_strategy,3,en-us,,3,0,
"copilot optimisation services",AI_LLM_STRATEGY,local_intent,llm_strategy,3,en-us,Il,3,0,
"omaha conversion rate optimization services",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Omaha,3,0,
"sacramento conversion rate optimization services",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Sacramento,3,0,
"columbus conversion rate optimization company",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Pa,3,0,
"omaha ai seo",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Omaha,3,0,
"generative engine optimization san antonio",TECHNICAL_AI_SEO,local_intent,llm_strategy,3,en-us,"San Antonio",3,0,
"ai seo detroit",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Detroit,3,0,
"virginia beach conversion rate optimization agency",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,"Virginia Beach",3,0,
"seo marketing strategy stockport",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Stockport,3,0,
"seo packages for huddersfield",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Pa,3,0,
"seo training houston",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Houston,3,0,
"chatgpt ranking optimisation service near me",AI_LLM_STRATEGY,local_intent,llm_strategy,3,en-us,"Near Me",3,0,
"basic seo in huddersfield",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Sf,3,0,
"best local seo in middlesbrough",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,3,0,
"seo audit cambridge",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,3,0,
"seo specialists stockport",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Stockport,3,0,
"seo services detroit",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Detroit,3,0,
"search engine optimisation (seo)middlesbrough",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Middlesbrough,3,0,
"technical seo singapore",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,3,0,
"nashville seo audit",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Il,3,0,
"seo services coventry",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Coventry,3,0,
"seo specialist in huddersfield",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Sf,3,0,
"phoenix technical seo site audit",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,3,0,
"seo specialist in northampton",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Northampton,3,0,
"site audit san francisco",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,"San Francisco",2,0,
"seo job",TECHNICAL_AI_SEO,job_intent,enterprise_ai_hiring,3,en-us,,2,0,
"seo jobs",TECHNICAL_AI_SEO,job_intent,enterprise_ai_hiring,3,en-us,,2,0,
"ai strategist jobs",TECHNICAL_AI_SEO,job_intent,enterprise_ai_hiring,3,en-us,,2,0,
"website audit san francisco",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,"San Francisco",2,0,
"ai search optimization boston",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Boston,2,0,
"how ai improves seo for charlotte websites",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Charlotte,2,0,
"memphis conversion rate optimization agency",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Memphis,2,0,
"minneapolis conversion rate optimization services",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Minneapolis,2,0,
"columbus conversion rate optimization agency",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Columbus,2,0,
"seo writers kansas city",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,"Kansas City",2,0,
"seo ranking stockport",TECHNICAL_AI_SEO,local_intent,ranking_optimization,3,en-us,Stockport,2,0,
"oklahoma city conversion rate optimization company",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,La,2,0,
"seo competitor analysis chicago il",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,2,0,
"api seo chicago, il",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,2,0,
"seo conference in leicester",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Leicester,2,0,
"conversion rate optimization minneapolis mn",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Minneapolis,2,0,
"technical seo derby",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,2,0,
"charlotte seo agency using ai",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Charlotte,2,0,
"conversion optimization los angeles",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,"Los Angeles",2,0,
"kansas city ai seo",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,"Kansas City",2,0,
"local seo coventry",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,2,0,
"google search seo in oldham",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Oldham,2,0,
"local seo in stoke-on-trent",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,2,0,
"seo services for business in coventry",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Coventry,2,0,
"seo specialist vancouver",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Vancouver,2,0,
"website search engine optimization stockport",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Stockport,2,0,
"seo specialist in oldham",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Oldham,2,0,
"seo specialist san francisco",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,"San Francisco",2,0,
"seo leicester",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Leicester,2,0,
"seo expert in oldham",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Oldham,2,0,
"ai seo jobs",TECHNICAL_AI_SEO,job_intent,enterprise_ai_hiring,3,en-us,,1,0,
"ai technical writer jobs",TECHNICAL_AI_SEO,job_intent,enterprise_ai_hiring,3,en-us,Ca,1,0,
"seo jobs boston",TECHNICAL_AI_SEO,job_intent,enterprise_ai_hiring,3,en-us,Boston,1,0,
"seo jobs in the last week",TECHNICAL_AI_SEO,job_intent,enterprise_ai_hiring,3,en-us,La,1,0,
"ai fukaya",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Uk,1,0,
"stockport link building service seo",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Il,1,0,
"generative engine optimization geo kansas city",TECHNICAL_AI_SEO,local_intent,llm_strategy,3,en-us,"Kansas City",1,0,
"phoenix semantic optimization",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Phoenix,1,0,
"ai optimisation bristol",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Bristol,1,0,
"seo specialist jobs in okc",TECHNICAL_AI_SEO,job_intent,enterprise_ai_hiring,3,en-us,,1,0,
"ai optimization milwaukee",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Uk,1,0,
"google ai overview optimization san antonio",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,"San Antonio",1,0,
"seo jobs plymouth",TECHNICAL_AI_SEO,job_intent,enterprise_ai_hiring,3,en-us,Plymouth,1,0,
"stockport link building services for seo",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Il,1,0,
"omaha conversion rate optimization company",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Pa,1,0,
"seo jobs northampton",TECHNICAL_AI_SEO,job_intent,enterprise_ai_hiring,3,en-us,Northampton,1,0,
"seo jobs leicester",TECHNICAL_AI_SEO,job_intent,enterprise_ai_hiring,3,en-us,Leicester,1,0,
"albuquerque ai seo",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Albuquerque,1,0,
"tucson conversion rate optimization agency",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Tucson,1,0,
"san jose ai seo",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,"San Jose",1,0,
"seo gap analysis service stockport",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Stockport,1,0,
"el paso conversion rate optimization services",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Pa,1,0,
"seo jobs coventry",TECHNICAL_AI_SEO,job_intent,enterprise_ai_hiring,3,en-us,Coventry,1,0,
"seo training stockport",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Stockport,1,0,
"seo jobs glasgow",TECHNICAL_AI_SEO,job_intent,enterprise_ai_hiring,3,en-us,La,1,0,
"seattle ai seo",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Seattle,1,0,
"nashville ai seo",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Il,1,0,
"conversion rate optimization baltimore",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Baltimore,1,0,
"atlanta ai seo",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,La,1,0,
"charlotte ai seo",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Charlotte,1,0,
"seo audits stockport",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Stockport,1,0,
"search engine optimization stockport",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Stockport,1,0,
"seo jobs belfast",TECHNICAL_AI_SEO,job_intent,enterprise_ai_hiring,3,en-us,Belfast,1,0,
"technical seo audit phoenix",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,1,0,
"generative engine optimization agency in singapore",TECHNICAL_AI_SEO,local_intent,llm_strategy,3,en-us,Singapore,1,0,
"philadelphia ai seo",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,La,1,0,
"technical seo audits chicago",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,1,0,
"denver ai seo",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Denver,1,0,
"ai seo services charlotte nc",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Charlotte,1,0,
"seo strategy stockport",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Stockport,1,0,
"seo competition tracking chicago, il",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,1,0,
"search engine optimization help stockport",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Stockport,1,0,
"seo advice northampton",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Northampton,1,0,
"baltimore ai seo company",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Pa,1,0,
"google search seo in middlesbrough",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Middlesbrough,1,0,
"local seo omaha",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,1,0,
"seo coventry",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Coventry,1,0,
"seo firm stockport",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Stockport,1,0,
"seo specialist northampton",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Northampton,1,0,
"generative engine optimization singapore",TECHNICAL_AI_SEO,local_intent,llm_strategy,3,en-us,Singapore,1,0,
"local seo service in coventry",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,1,0,
"seo consultant stockport",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Stockport,1,0,
"local seo middlesbrough",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,1,0,
"seo in huddersfield",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Sf,1,0,
"seo search engine optimisation in middlesbrough",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Middlesbrough,1,0,
"seo agency huddersfield",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Sf,1,0,
"virginia beach conversion rate optimization company",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Pa,1,0,
"phoenix ai seo",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Phoenix,1,0,
"ai seo northern ireland",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-gb,La,1,0,
"hull seo",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Hull,1,0,
"philadelphia seo audit",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,La,1,0,
"seo content stockport",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Stockport,1,0,
"google search seo in nottingham",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Nottingham,1,0,
"tucson search optimization",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Tucson,1,0,
"ai as a service kansas city",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,"Kansas City",1,0,
"seo company southport",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Pa,1,0,
"nashville ai seo agency",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Il,1,0,
"online marketing search engine optimization stockport",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Stockport,1,0,
"ai seo consultant charlotte nc",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Charlotte,1,0,
"online search engine optimization stockport",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Stockport,1,0,
"audit services blackpool",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,La,1,0,
"b2b seo agency dallas",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,La,1,0,
"google search seo in huddersfield",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Sf,1,0,
"stockport seo consultants",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Stockport,1,0,
"ai implementation kansas city",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,"Kansas City",1,0,
"seo training dallas",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,La,1,0,
"mobile seo services chicago",TECHNICAL_AI_SEO,local_intent,mobile_ai_seo,3,en-us,Ca,1,0,
"technical seo in northampton",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,1,0,
